dist	Gene	pairLabel
5.477108	CD36	Nuc8_gene3_SE25
4.968973	CD36	Nuc8_gene1_SE26
3.181386	CD36	Nuc8_gene2_SE26
5.348407	CD36	Nuc8_gene3_SE26
3.486558	CD36	Nuc8_gene1_SE27
6.175347	CD36	Nuc8_gene2_SE27
6.357178	CD36	Nuc8_gene3_SE27
7.353016	CD36	Nuc8_gene1_SE28
5.012465	CD36	Nuc8_gene2_SE28
5.576269	CD36	Nuc8_gene3_SE28
3.773352	CD36	Nuc8_gene1_SE29
2.855146	CD36	Nuc8_gene2_SE29
5.376578	CD36	Nuc8_gene3_SE29
2.471787	CD36	Nuc8_gene1_SE30
3.414402	CD36	Nuc8_gene2_SE30
6.176944	CD36	Nuc8_gene3_SE30
4.464114	CD36	Nuc8_gene1_SE31
5.720731	CD36	Nuc8_gene2_SE31
5.099969	CD36	Nuc8_gene3_SE31
1.751593	CD36	Nuc8_gene1_SE32
4.004275	CD36	Nuc8_gene2_SE32
6.663495	CD36	Nuc8_gene3_SE32
0.74658	CD36	Nuc8_gene1_SE33
5.313543	CD36	Nuc8_gene2_SE33
7.288574	CD36	Nuc8_gene3_SE33
1.603359	CD36	Nuc8_gene1_SE34
5.688573	CD36	Nuc8_gene2_SE34
7.041291	CD36	Nuc8_gene3_SE34
6.878295	CD36	Nuc8_gene1_SE35
3.940073	CD36	Nuc8_gene2_SE35
1.609177	CD36	Nuc8_gene3_SE35
1.566503	CD36	Nuc8_gene1_SE36
5.429011	CD36	Nuc8_gene2_SE36
7.112252	CD36	Nuc8_gene3_SE36
2.096999	CD36	Nuc8_gene1_SE37
2.641488	CD36	Nuc8_gene2_SE37
5.345889	CD36	Nuc8_gene3_SE37
6.83206	CD36	Nuc8_gene1_SE38
3.817809	CD36	Nuc8_gene2_SE38
4.893055	CD36	Nuc8_gene3_SE38
7.107517	CD36	Nuc8_gene1_SE39
4.929603	CD36	Nuc8_gene2_SE39
3.609163	CD36	Nuc8_gene3_SE39
1.936874	CD36	Nuc8_gene1_SE40
5.047465	CD36	Nuc8_gene2_SE40
6.146095	CD36	Nuc8_gene3_SE40
1.38974	CD36	Nuc8_gene1_SE41
3.493512	CD36	Nuc8_gene2_SE41
5.219934	CD36	Nuc8_gene3_SE41
4.677145	CD36	Nuc8_gene1_SE42
4.523724	CD36	Nuc8_gene2_SE42
3.436714	CD36	Nuc8_gene3_SE42
4.952268	CD36	Nuc8_gene1_SE43
3.42435	CD36	Nuc8_gene2_SE43
2.250854	CD36	Nuc8_gene3_SE43
1.397182	CD36	Nuc8_gene1_SE44
4.35811	CD36	Nuc8_gene2_SE44
6.290554	CD36	Nuc8_gene3_SE44
5.273678	CD36	Nuc8_gene1_SE45
1.282137	CD36	Nuc8_gene2_SE45
3.851549	CD36	Nuc8_gene3_SE45
1.374894	CD36	Nuc8_gene1_SE46
3.56634	CD36	Nuc8_gene2_SE46
5.911128	CD36	Nuc8_gene3_SE46
8.016136	CD36	Nuc8_gene1_SE47
4.636766	CD36	Nuc8_gene2_SE47
4.551434	CD36	Nuc8_gene3_SE47
3.087961	CD36	Nuc8_gene1_SE48
3.517495	CD36	Nuc8_gene2_SE48
4.593407	CD36	Nuc8_gene3_SE48
4.132998	CD36	Nuc8_gene1_SE49
5.024389	CD36	Nuc8_gene2_SE49
4.777397	CD36	Nuc8_gene3_SE49
6.529603	CD36	Nuc8_gene1_SE50
2.630059	CD36	Nuc8_gene2_SE50
3.880791	CD36	Nuc8_gene3_SE50
